"","method","wavelength1","value","plate","sampling","treatment","temperature","nut","rep"
"1","RFU ","395,680",61,"all","9","MIX","9","Low","1"
"2","RFU ","395,680",74,"all","9","MIX","12","Low","1"
"3","RFU ","395,680",158,"all","9","MIX","15","Low","1"
"4","RFU ","395,680",207,"all","9","MIX","18","Low","1"
"5","RFU ","614,680",13,"all","9","MIX","9","Low","1"
"6","RFU ","614,680",14,"all","9","MIX","12","Low","1"
"7","RFU ","614,680",34,"all","9","MIX","15","Low","1"
"8","RFU ","614,680",44,"all","9","MIX","18","Low","1"
"9","RFU ","440,660",50,"all","9","MIX","9","Low","1"
"10","RFU ","440,660",66,"all","9","MIX","12","Low","1"
"11","RFU ","440,660",110,"all","9","MIX","15","Low","1"
"12","RFU ","440,660",151,"all","9","MIX","18","Low","1"
"13","OD ","440",0.089,"all","9","MIX","9","Low","1"
"14","OD ","440",0.086,"all","9","MIX","12","Low","1"
"15","OD ","440",0.098,"all","9","MIX","15","Low","1"
"16","OD ","440",0.107,"all","9","MIX","18","Low","1"
"17","OD ","450",0.085,"all","9","MIX","9","Low","1"
"18","OD ","450",0.086,"all","9","MIX","12","Low","1"
"19","OD ","450",0.096,"all","9","MIX","15","Low","1"
"20","OD ","450",0.106,"all","9","MIX","18","Low","1"
"21","OD ","650",0.066,"all","9","MIX","9","Low","1"
"22","OD ","650",0.063,"all","9","MIX","12","Low","1"
"23","OD ","650",0.075,"all","9","MIX","15","Low","1"
"24","OD ","650",0.082,"all","9","MIX","18","Low","1"
"25","OD ","800",0.058,"all","9","MIX","9","Low","1"
"26","OD ","800",0.063,"all","9","MIX","12","Low","1"
"27","OD ","800",0.071,"all","9","MIX","15","Low","1"
"28","OD ","800",0.081,"all","9","MIX","18","Low","1"
"29","RFU ","395,680",59,"all","9","MIX","9","Low","2"
"30","RFU ","395,680",36,"all","9","MIX","12","Low","2"
"31","RFU ","395,680",90,"all","9","MIX","15","Low","2"
"32","RFU ","395,680",141,"all","9","MIX","18","Low","2"
"33","RFU ","395,680",537,"all","9","MIX","21","Low","1"
"34","RFU ","614,680",2,"all","9","MIX","9","Low","2"
"35","RFU ","614,680",7,"all","9","MIX","12","Low","2"
"36","RFU ","614,680",15,"all","9","MIX","15","Low","2"
"37","RFU ","614,680",35,"all","9","MIX","18","Low","2"
"38","RFU ","614,680",81,"all","9","MIX","21","Low","1"
"39","RFU ","440,660",47,"all","9","MIX","9","Low","2"
"40","RFU ","440,660",43,"all","9","MIX","12","Low","2"
"41","RFU ","440,660",65,"all","9","MIX","15","Low","2"
"42","RFU ","440,660",104,"all","9","MIX","18","Low","2"
"43","RFU ","440,660",367,"all","9","MIX","21","Low","1"
"44","OD ","440",0.072,"all","9","MIX","9","Low","2"
"45","OD ","440",0.072,"all","9","MIX","12","Low","2"
"46","OD ","440",0.082,"all","9","MIX","15","Low","2"
"47","OD ","440",0.085,"all","9","MIX","18","Low","2"
"48","OD ","440",0.122,"all","9","MIX","21","Low","1"
"49","OD ","450",0.071,"all","9","MIX","9","Low","2"
"50","OD ","450",0.07,"all","9","MIX","12","Low","2"
"51","OD ","450",0.08,"all","9","MIX","15","Low","2"
"52","OD ","450",0.083,"all","9","MIX","18","Low","2"
"53","OD ","450",0.12,"all","9","MIX","21","Low","1"
"54","OD ","650",0.055,"all","9","MIX","9","Low","2"
"55","OD ","650",0.054,"all","9","MIX","12","Low","2"
"56","OD ","650",0.06,"all","9","MIX","15","Low","2"
"57","OD ","650",0.063,"all","9","MIX","18","Low","2"
"58","OD ","650",0.089,"all","9","MIX","21","Low","1"
"59","OD ","800",0.051,"all","9","MIX","9","Low","2"
"60","OD ","800",0.055,"all","9","MIX","12","Low","2"
"61","OD ","800",0.059,"all","9","MIX","15","Low","2"
"62","OD ","800",0.063,"all","9","MIX","18","Low","2"
"63","OD ","800",0.096,"all","9","MIX","21","Low","1"
"64","RFU ","395,680",96,"all","9","MIX","9","Low","3"
"65","RFU ","395,680",43,"all","9","MIX","12","Low","3"
"66","RFU ","395,680",91,"all","9","MIX","15","Low","3"
"67","RFU ","395,680",184,"all","9","MIX","18","Low","3"
"68","RFU ","395,680",541,"all","9","MIX","21","Low","2"
"69","RFU ","614,680",21,"all","9","MIX","9","Low","3"
"70","RFU ","614,680",7,"all","9","MIX","12","Low","3"
